 h bar =  0.492508228253105     
 TE -error=   -109576.469726562        5928827338678.22     
 Volume Error=   7.429434845107608E-002   16.5035544341663     
 TE -error=   -109594.422851562        5928827338660.27     
 Volume Error=   7.462972462235484E-002   16.5038898103376     
 TE -error=   -109551.326171875        5928827338703.36     
 Volume Error=   7.699725301790750E-002   16.5062573387331     
 TE -error=   -109584.800781250        5928827338669.89     
 Volume Error=   7.591438588860910E-002   16.5051744716038     
 TE -error=   -109610.815429688        5928827338643.87     
 Volume Error=   7.524647571699461E-002   16.5045065614322     
 TE -error=   -109565.775390625        5928827338688.91     
 Volume Error=   7.464819873348461E-002   16.5039082844487     
 TE -error=   -109496.852539062        5928827338757.84     
 Volume Error=   7.574101346108364E-002   16.5050010991763     
 TE -error=   -109446.015625000        5928827338808.67     
 Volume Error=   7.517328981521132E-002   16.5044333755304     
 TE -error=   -109312.824218750        5928827338941.87     
 Volume Error=   7.519993516780232E-002   16.5044600208830     
 TE -error=   -109173.587890625        5928827339081.10     
 Volume Error=   7.588347727960354E-002   16.5051435629948     
 TE -error=   -109048.566406250        5928827339206.12     
 Volume Error=   7.389964196136134E-002   16.5031597276766     
 TE -error=   -108859.816406250        5928827339394.87     
 Volume Error=   7.573177640551876E-002   16.5049918621207     
 TE -error=   -108659.200195312        5928827339595.49     
 Volume Error=   7.456861794707947E-002   16.5038287036623     
 TE -error=   -108420.350585938        5928827339834.34     
